img,cat,pair,type,jitter,run
SL_017a.jpg,1,17,2,2,9
OL_046a.jpg,2,46,5,2,9
OL_028b.jpg,2,28,5,2,9
OL_035b.jpg,2,35,5,2,9
SU_042.jpg,1,0,1,11,9
SU_084.jpg,1,98,7,6.5,9
OU_100.jpg,2,999,999,6.5,9
OU_032.jpg,2,0,1,2,9
SU_107.jpg,1,999,999,2,9
SL_032a.jpg,1,32,5,2,9
SU_023.jpg,1,99,7,2,9
OU_095.jpg,2,97,7,6.5,9
SL_039b.jpg,1,39,2,2,9
OU_051.jpg,2,0,1,6.5,9
OU_004.jpg,2,98,7,2,9
SL_033b.jpg,1,33,5,2,9
SU_067.jpg,1,0,1,2,9
OU_080.jpg,2,99,7,2,9
SU_001.jpg,1,97,7,2,9
OU_097.jpg,2,999,999,2,9
OU_033.jpg,2,0,1,2,9
SU_045.jpg,1,0,1,6.5,9
OU_101.jpg,2,999,999,6.5,9
SU_100.jpg,1,999,999,2,9
OL_023a.jpg,2,23,2,2,9
SL_057a.jpg,1,57,2,6.5,9
SU_104.jpg,1,999,999,2,9
SU_099.jpg,1,999,999,2,9
OL_060b.jpg,2,60,2,2,9
SL_049b.jpg,1,49,5,6.5,9
OL_003b.jpg,2,3,2,6.5,9
OU_105.jpg,2,999,999,2,9
SU_087.jpg,1,0,1,2,9
OU_107.jpg,2,999,999,2,9
SU_105.jpg,1,999,999,2,9
SU_101.jpg,1,999,999,2,9
OU_005.jpg,2,0,1,2,9
OL_014b.jpg,2,14,2,11,9
SL_050a.jpg,1,50,2,2,9
